code,label,cx,cy,description,value
W92000004,Wales,281678,267845,Arrived in the UK: Aged 0 to 4 years,34270
W92000004,Wales,281678,267845,Arrived in the UK: Aged 5 to 7 years,10702
W92000004,Wales,281678,267845,Arrived in the UK: Aged 8 to 9 years,6191
W92000004,Wales,281678,267845,Arrived in the UK: Aged 10 to 14 years,13434
W92000004,Wales,281678,267845,Arrived in the UK: Aged 15 years,2861
W92000004,Wales,281678,267845,Arrived in the UK: Aged 16 to 17 years,7968
W92000004,Wales,281678,267845,Arrived in the UK: Aged 18 to 19 years,13742
W92000004,Wales,281678,267845,Arrived in the UK: Aged 20 to 24 years,37167
W92000004,Wales,281678,267845,Arrived in the UK: Aged 25 to 29 years,32816
W92000004,Wales,281678,267845,Arrived in the UK: Aged 30 to 44 years,43479
W92000004,Wales,281678,267845,Arrived in the UK: Aged 45 to 59 years,10085
W92000004,Wales,281678,267845,Arrived in the UK: Aged 60 to 64 years,1142
W92000004,Wales,281678,267845,Arrived in the UK: Aged 65 to 74 years,1164
W92000004,Wales,281678,267845,Arrived in the UK: Aged 75 to 84 years,339
W92000004,Wales,281678,267845,Arrived in the UK: Aged 85 to 89 years,43
W92000004,Wales,281678,267845,Arrived in the UK: Aged 90 years and over,27
E12000001,North East,406372,568880,Arrived in the UK: Aged 0 to 4 years,29373
E12000001,North East,406372,568880,Arrived in the UK: Aged 5 to 7 years,8983
E12000001,North East,406372,568880,Arrived in the UK: Aged 8 to 9 years,5087
E12000001,North East,406372,568880,Arrived in the UK: Aged 10 to 14 years,10907
E12000001,North East,406372,568880,Arrived in the UK: Aged 15 years,2163
E12000001,North East,406372,568880,Arrived in the UK: Aged 16 to 17 years,6285
E12000001,North East,406372,568880,Arrived in the UK: Aged 18 to 19 years,11431
E12000001,North East,406372,568880,Arrived in the UK: Aged 20 to 24 years,31000
E12000001,North East,406372,568880,Arrived in the UK: Aged 25 to 29 years,28478
E12000001,North East,406372,568880,Arrived in the UK: Aged 30 to 44 years,36511
E12000001,North East,406372,568880,Arrived in the UK: Aged 45 to 59 years,7118
E12000001,North East,406372,568880,Arrived in the UK: Aged 60 to 64 years,797
E12000001,North East,406372,568880,Arrived in the UK: Aged 65 to 74 years,751
E12000001,North East,406372,568880,Arrived in the UK: Aged 75 to 84 years,216
E12000001,North East,406372,568880,Arrived in the UK: Aged 85 to 89 years,30
E12000001,North East,406372,568880,Arrived in the UK: Aged 90 years and over,14
E12000002,North West,352910,461468,Arrived in the UK: Aged 0 to 4 years,115914
E12000002,North West,352910,461468,Arrived in the UK: Aged 5 to 7 years,44135
E12000002,North West,352910,461468,Arrived in the UK: Aged 8 to 9 years,26806
E12000002,North West,352910,461468,Arrived in the UK: Aged 10 to 14 years,59183
E12000002,North West,352910,461468,Arrived in the UK: Aged 15 years,12958
E12000002,North West,352910,461468,Arrived in the UK: Aged 16 to 17 years,34060
E12000002,North West,352910,461468,Arrived in the UK: Aged 18 to 19 years,56001
E12000002,North West,352910,461468,Arrived in the UK: Aged 20 to 24 years,151929
E12000002,North West,352910,461468,Arrived in the UK: Aged 25 to 29 years,135066
E12000002,North West,352910,461468,Arrived in the UK: Aged 30 to 44 years,177960
E12000002,North West,352910,461468,Arrived in the UK: Aged 45 to 59 years,41092
E12000002,North West,352910,461468,Arrived in the UK: Aged 60 to 64 years,4461
E12000002,North West,352910,461468,Arrived in the UK: Aged 65 to 74 years,4378
E12000002,North West,352910,461468,Arrived in the UK: Aged 75 to 84 years,1241
